Name,Price
Linde plc,389.35
BHP Group Limited,56.51
Rio Tinto Group,63.28
The Sherwin-Williams Company,273.65
"Air Products and Chemicals, Inc.",302.80
"EIDP, Inc.",76.99
Southern Copper Corporation,80.40
Vale S.A.,13.69
Freeport-McMoRan Inc.,40.11
Ecolab Inc.,183.85
"EIDP, Inc.",58.10
Nucor Corporation,163.17
CRH plc,54.55
Dow Inc.,53.67
"Corteva, Inc.",49.81
"DuPont de Nemours, Inc.",75.43
POSCO Holdings Inc.,108.19
LyondellBasell Industries N.V.,100.32
"PPG Industries, Inc.",136.35
Nutrien Ltd.,62.79
Newmont Corporation,38.91
Vulcan Materials Company,216.59
Barrick Gold Corporation,16.07
Franco-Nevada Corporation,141.18
"Martin Marietta Materials, Inc.",439.07
